2009年9月,印刷の新しい発注の仕組み作りを目的としてTectonics株式会社を設立
2010年1月,社名をラクスル株式会社に変更
2010年4月,印刷通販の価格比較サービスサイト「印刷比較.com」の運営を開始
2010年8月,業務拡張のため本社を東京都港区海岸へ移転
2010年9月,「印刷比較.com」を「ラクスル」に名称変更・サイトリニューアル
2011年3月,業務拡張のため本社を東京都港区田町へ移転
2011年11月,「ラクスル」をサイトリニューアル
2011年12月,業務拡張のため本社を東京都港区芝浦へ移転
2013年3月,印刷のシェアリングプラットフォーム「ラクスル」を開始
2013年11月,業務拡張のため本社を東京都港区虎ノ門へ移転
2014年6月,テレビCMの放送を開始
2015年3月,広告のプラットフォームとして集客支援(広告)サービスの提供を開始
2015年10月,海外展開のため100%子会社としてRAKSUL INTERNATIONAL PTE. LTD.をシンガポールに設立
2015年11月,業務拡張のため本社を東京都品川区上大崎へ移転
2015年12月,物流のシェアリングプラットフォーム「ハコベル」を開始
2017年4月,京都事業所を開設
2017年7月,ヤマトホールディングス株式会社との資本提携を実施
2018年5月,東京証券取引所マザーズに株式を上場
2019年8月,東京証券取引所市場第一部へ市場変更
2019年11月,RAKSUL INTERNATIONAL PTE. LTD.を清算
2020年4月,広告のプラットフォーム「ノバセル」を開始
2020年6月,開発拠点として100%子会社RAKSUL VIETNAM COMPANY LIMITED をベトナムに設立
2020年7月,開発拠点として100%子会社RAKSUL INDIA PRIVATE LIMITED をインドに設立
